0,0,0.002753,-0.64502,-0.067871,0.71631
0,0,0.018378,-0.65918,-0.083008,0.74072
0,0,0.034003,-0.66895,-0.13818,0.75195
0,0,0.049628,-0.67139,-0.19482,0.75977
1,1,0.065253,-0.65625,-0.21143,0.74805
1,1,0.080878,-0.65771,-0.20996,0.73633
1,1,0.096503,-0.65527,-0.1665,0.73926
1,1,0.11213,-0.67236,-0.089355,0.7334
1,1,0.12775,-0.69238,0.0092773,0.70703
1,1,0.14338,-0.68945,0.096191,0.71045
2,2,0.159,-0.6626,0.22168,0.72607
2,2,0.17463,-0.68457,0.37598,0.74902
2,2,0.19025,-0.68311,0.50439,0.80859
2,2,0.20588,-0.67822,0.63672,0.88086
2,2,0.2215,-0.66406,0.73926,0.91553
2,2,0.23713,-0.61523,0.72754,0.90576
3,3,0.25275,-0.56592,0.67383,0.82861
3,3,0.26838,-0.60693,0.60596,0.73584
3,3,0.284,-0.62061,0.65088,0.70947
3,3,0.29963,-0.6123,0.64893,0.63818
3,3,0.31525,-0.60205,0.60693,0.59863
3,3,0.33088,-0.62549,0.56104,0.57568
3,3,0.3465,-0.64941,0.48193,0.55518
4,4,0.36213,-0.65381,0.47217,0.53906
4,4,0.37775,-0.65771,0.45068,0.55664
4,4,0.39338,-0.68457,0.42627,0.56934
4,4,0.409,-0.71582,0.39551,0.57178
4,4,0.42463,-0.68066,0.34619,0.55225
4,4,0.44025,-0.67969,0.22754,0.49561
5,5,0.45588,-0.69775,0.11133,0.45312
5,5,0.4715,-0.69092,0.13672,0.48486
5,5,0.48713,-0.69287,0.2207,0.56348
5,5,0.50275,-0.72754,0.27002,0.65332
5,5,0.51838,-0.76025,0.23779,0.66113
5,5,0.534,-0.75879,0.23828,0.64941
5,5,0.54963,-0.73486,0.25049,0.66895
6,6,0.56525,-0.7373,0.21826,0.65332
6,6,0.58088,-0.76123,0.20312,0.64941
6,6,0.5965,-0.74902,0.23096,0.60938
6,6,0.61213,-0.73242,0.25342,0.57666
6,6,0.62775,-0.7749,0.23779,0.57178
6,6,0.64338,-0.79004,0.21484,0.57422
7,7,0.659,-0.79346,0.21338,0.56445
7,7,0.67463,-0.79395,0.22314,0.54688
7,7,0.69025,-0.78857,0.19189,0.50928
7,7,0.70588,-0.79688,0.14014,0.51709
7,7,0.7215,-0.79492,0.07959,0.56152
7,7,0.73713,-0.80957,-0.026855,0.56836
8,8,0.75275,-0.83105,-0.033691,0.54834
8,8,0.76838,-0.8335,-0.023438,0.55566
8,8,0.784,-0.81689,-0.053711,0.58496
8,8,0.79963,-0.81055,-0.12109,0.57031
8,8,0.81525,-0.81104,-0.18457,0.53174
8,8,0.83088,-0.81543,-0.20801,0.49756
8,8,0.8465,-0.82764,-0.24512,0.44824
9,9,0.86213,-0.8335,-0.28516,0.42822
9,9,0.87775,-0.83838,-0.28906,0.45752
9,9,0.89338,-0.8125,-0.33789,0.49268
9,9,0.909,-0.81934,-0.33936,0.52393
9,9,0.92463,-0.83252,-0.32959,0.5293
9,9,0.94025,-0.83594,-0.32178,0.54297
10,10,0.95588,-0.85156,-0.25439,0.54736
10,10,0.9715,-0.86035,-0.12939,0.53467
10,10,0.98713,-0.86475,-0.052734,0.5415
10,10,1.0028,-0.85449,-0.078125,0.55322
10,10,1.0184,-0.85693,-0.10986,0.54492
10,10,1.034,-0.86035,-0.13721,0.54053
10,10,1.0496,-0.86182,-0.14062,0.53467
11,11,1.0653,-0.85059,-0.1416,0.53711
11,11,1.0809,-0.8374,-0.2124,0.54395
11,11,1.0965,-0.8418,-0.26855,0.53906
11,11,1.1121,-0.84229,-0.23242,0.53613
11,11,1.1278,-0.85645,-0.16162,0.52344
11,11,1.1434,-0.86133,-0.13867,0.47412
12,12,1.159,-0.84961,-0.2207,0.47266
12,12,1.1746,-0.86572,-0.10107,0.4707
12,12,1.1903,-0.86816,-0.10889,0.4668
12,12,1.2059,-0.85742,-0.22754,0.42041
12,12,1.2215,-0.85303,-0.26221,0.35742
12,12,1.2371,-0.82764,-0.33057,0.31885
13,13,1.2528,-0.79199,-0.46289,0.25049
13,13,1.2684,-0.80127,-0.52637,0.21777
13,13,1.284,-0.79785,-0.64551,0.16553
13,13,1.2996,-0.77148,-0.66504,0.10449
13,13,1.3153,-0.79346,-0.71436,0.09668
13,13,1.3309,-0.80908,-0.70215,0.10254
13,13,1.3465,-0.83301,-0.63281,0.13281
14,14,1.3621,-0.80664,-0.61279,0.10107
14,14,1.3778,-0.81396,-0.64844,0.074219
14,14,1.3934,-0.81787,-0.64209,0.061523
14,14,1.409,-0.80859,-0.63037,0.066895
14,14,1.4246,-0.81934,-0.62598,0.081543
14,14,1.4403,-0.82861,-0.61084,0.11328
15,15,1.4559,-0.81787,-0.61084,0.11914
15,15,1.4715,-0.81738,-0.61963,0.081055
15,15,1.4871,-0.81152,-0.64795,0.066895
15,15,1.5028,-0.80566,-0.67383,0.046875
15,15,1.5184,-0.80566,-0.68945,0.041504
15,15,1.534,-0.7959,-0.67334,0.04248
15,15,1.5496,-0.80029,-0.66748,0.060059
16,16,1.5653,-0.80225,-0.66553,0.074707
16,16,1.5809,-0.79541,-0.64209,0.083008
16,16,1.5965,-0.80859,-0.63086,0.092773
16,16,1.6121,-0.81348,-0.60791,0.085449
16,16,1.6278,-0.80957,-0.55908,0.089355
16,16,1.6434,-0.81787,-0.53809,0.095703
17,17,1.659,-0.8208,-0.51953,0.093262
17,17,1.6746,-0.81934,-0.45312,0.10986
17,17,1.6903,-0.80469,-0.4082,0.14209
