1,1,0.05606,0.52588,0.5708,0.45825,0.57617,0.49292,0.61816,0.60596,0.54248,0.44897,0.56445,0.70996,0.57715,0.42065,0.64746
2,2,0.17697,0.52637,0.57129,0.4585,0.57666,0.49316,0.61865,0.60596,0.54199,0.44897,0.56396,0.7085,0.57666,0.41919,0.64697
3,3,0.29375,0.52637,0.57178,0.45825,0.57715,0.4939,0.62012,0.60596,0.54346,0.44873,0.56494,0.7085,0.57666,0.41968,0.64746
4,4,0.40044,0.5293,0.57129,0.45996,0.57666,0.49536,0.62012,0.60645,0.54297,0.44849,0.56494,0.70898,0.57715,0.41968,0.64697
5,5,0.49279,0.53174,0.57129,0.46313,0.5791,0.49756,0.62012,0.60742,0.54395,0.44946,0.56543,0.70898,0.57666,0.41968,0.64844
6,6,0.61915,0.53857,0.57129,0.46606,0.57812,0.50342,0.61963,0.61182,0.54346,0.45044,0.5625,0.70947,0.57617,0.41846,0.64941
7,7,0.73422,0.54199,0.57129,0.46875,0.57764,0.50684,0.62061,0.61426,0.54443,0.44971,0.56201,0.70947,0.57568,0.41821,0.65039
9,9,0.86466,0.54248,0.57178,0.46899,0.57715,0.50684,0.62061,0.61475,0.54443,0.44971,0.56055,0.70947,0.5752,0.41797,0.64941
10,10,0.97506,0.54053,0.57275,0.46826,0.5791,0.50537,0.62061,0.61279,0.54492,0.45068,0.56201,0.70947,0.5752,0.41748,0.65088
11,11,1.1065,0.53906,0.57324,0.46729,0.58057,0.50391,0.62158,0.6123,0.54395,0.4502,0.5625,0.70898,0.57568,0.41724,0.65186
12,12,1.2249,0.53906,0.57324,0.46729,0.58057,0.50391,0.62109,0.6123,0.54395,0.45068,0.56299,0.70947,0.57617,0.41699,0.65381
14,14,1.3673,0.53906,0.57324,0.46753,0.58008,0.50439,0.62158,0.61279,0.54443,0.45093,0.56348,0.70947,0.57666,0.41943,0.65283
15,15,1.4923,0.53857,0.57373,0.46729,0.58105,0.50391,0.62256,0.6123,0.54395,0.45142,0.56348,0.70947,0.57666,0.41919,0.65234
16,16,1.6237,0.53711,0.57324,0.46558,0.58154,0.50293,0.62256,0.60986,0.54492,0.44897,0.56592,0.70898,0.57617,0.41846,0.65234
18,18,1.7544,0.53564,0.57324,0.46533,0.58154,0.50195,0.62158,0.60938,0.54443,0.44946,0.56543,0.7085,0.57568,0.41821,0.65234
19,19,1.8876,0.53809,0.57275,0.46509,0.58154,0.50342,0.62256,0.61035,0.54443,0.44946,0.56592,0.70947,0.5752,0.41895,0.65137
20,20,2.0006,0.53906,0.57324,0.46606,0.58154,0.50391,0.62646,0.61084,0.54443,0.44922,0.56592,0.7085,0.5752,0.41968,0.65137
21,21,2.1156,0.53662,0.57373,0.46558,0.58301,0.50293,0.62305,0.60889,0.54395,0.44946,0.56738,0.70898,0.57471,0.41846,0.65332
22,22,2.2477,0.53516,0.57422,0.46484,0.58301,0.50195,0.62256,0.6084,0.54346,0.44946,0.56787,0.70898,0.5752,0.41797,0.65088
24,24,2.3661,0.53467,0.57373,0.46484,0.58301,0.50195,0.62256,0.60791,0.54443,0.4502,0.56885,0.70898,0.57568,0.41992,0.65186
25,25,2.4807,0.53467,0.57373,0.46533,0.58301,0.50195,0.62207,0.60791,0.54346,0.44971,0.56836,0.70947,0.57471,0.41846,0.65234
26,26,2.5926,0.53516,0.57373,0.46533,0.5835,0.50244,0.62256,0.6084,0.54346,0.44995,0.56836,0.70898,0.57471,0.41797,0.65186
27,27,2.7171,0.53564,0.57373,0.46558,0.58301,0.50293,0.62256,0.6084,0.54297,0.44995,0.56787,0.70898,0.57471,0.41821,0.65088
28,28,2.8312,0.53516,0.57373,0.46533,0.5835,0.50244,0.62305,0.60791,0.54248,0.44995,0.56787,0.70947,0.5752,0.41748,0.65137
30,30,2.9641,0.53564,0.57373,0.46558,0.5835,0.50244,0.62207,0.60791,0.54297,0.44946,0.56738,0.70947,0.57568,0.41675,0.65186
31,31,3.0779,0.53564,0.57422,0.46558,0.58398,0.50244,0.62305,0.60742,0.54346,0.44995,0.56836,0.70898,0.5752,0.41797,0.65186
32,32,3.2014,0.53564,0.57422,0.46533,0.5835,0.50244,0.62256,0.60889,0.54443,0.44922,0.56836,0.70898,0.57471,0.4165,0.65088
33,33,3.3258,0.53516,0.57422,0.46509,0.58398,0.50195,0.62305,0.60645,0.54395,0.44873,0.56787,0.70898,0.5752,0.41724,0.65137
34,34,3.4354,0.53418,0.57422,0.46436,0.58398,0.50146,0.62207,0.60791,0.54443,0.44873,0.56836,0.70898,0.57471,0.41724,0.65039
35,35,3.5465,0.53418,0.57422,0.46411,0.58398,0.50146,0.62256,0.60791,0.54297,0.44873,0.56787,0.7085,0.57471,0.41748,0.6499
37,37,3.6778,0.53418,0.57422,0.46436,0.58398,0.50146,0.62256,0.60791,0.54346,0.44849,0.56787,0.70898,0.5752,0.41748,0.65088
38,38,3.81,0.53467,0.57471,0.46484,0.58398,0.50195,0.62256,0.6084,0.54395,0.44897,0.56787,0.70898,0.5752,0.41724,0.65137
39,39,3.9253,0.53516,0.57422,0.46484,0.58398,0.50195,0.62256,0.6084,0.54297,0.44922,0.56738,0.70947,0.57422,0.41748,0.65039
41,41,4.0509,0.53467,0.5752,0.46484,0.58496,0.50146,0.62695,0.60645,0.54443,0.44946,0.56836,0.70898,0.57471,0.41699,0.65186
42,42,4.1803,0.53418,0.57471,0.46484,0.58496,0.50146,0.62646,0.60791,0.54395,0.44946,0.56836,0.70947,0.5752,0.41724,0.65137
