0,0,0,6,0.6
0,0,0,5,0.5
0,0,0,1,0.1
730,730,73,2,0.2
2850,2850,285,1,0.1
4780,4780,478,1,0.1
4800,4800,480,1,0.1
6660,6660,666,4,0.4
8800,8800,880,1,0.1
