0,0,0.035935,1
9,9,0.92111,1
18,18,1.7673,1
27,27,2.7096,1
35,35,3.524,1
41,41,4.1184,1
49,49,4.8665,1
58,58,5.7523,1
68,68,6.8143,1
79,79,7.8952,1
91,91,9.0803,1
105,105,10.486,1
114,114,11.365,1
123,123,12.291,1
131,131,13.105,1
138,138,13.838,1
145,145,14.54,1
153,153,15.309,1
161,161,16.095,1
169,169,16.92,1
176,176,17.631,1
183,183,18.32,1
190,190,19.026,1
199,199,19.899,1
209,209,20.938,1
221,221,22.057,1
231,231,23.115,1
241,241,24.145,1
251,251,25.148,1
260,260,26.008,1
268,268,26.821,1
276,276,27.636,1
284,284,28.425,1
292,292,29.191,1
300,300,29.994,1
307,307,30.651,1
315,315,31.518,1
323,323,32.273,1
330,330,32.973,1
337,337,33.725,1
351,351,35.074,1
359,359,35.858,1
375,375,37.539,1
387,387,38.699,1
394,394,39.374,1
402,402,40.216,1
410,410,40.963,1
417,417,41.707,1
425,425,42.461,1
432,432,43.205,1
439,439,43.909,1
450,450,44.953,1
459,459,45.877,1
464,464,46.386,1
470,470,46.966,1
479,479,47.928,1
487,487,48.67,1
496,496,49.644,1
506,506,50.587,1
514,514,51.361,1
520,520,51.971,1
528,528,52.817,1
535,535,53.531,1
541,541,54.142,1
549,549,54.88,1
556,556,55.566,1
567,567,56.709,1
575,575,57.543,1
587,587,58.698,1
595,595,59.489,1
601,601,60.093,1
608,608,60.794,1
617,617,61.703,1
633,633,63.257,1
641,641,64.146,1
648,648,64.814,1
656,656,65.566,1
663,663,66.303,1
680,680,67.97,1
689,689,68.918,1
700,700,70.019,1
707,707,70.697,1
715,715,71.535,1
722,722,72.237,1
730,730,72.952,1
737,737,73.729,1
744,744,74.419,1
752,752,75.248,1
762,762,76.248,1
774,774,77.409,1
782,782,78.224,1
793,793,79.331,1
800,800,79.98,1
810,810,80.956,1
820,820,82.02,1
830,830,83.033,1
838,838,83.767,1
844,844,84.442,1
850,850,85.005,1
857,857,85.729,1
864,864,86.435,1
872,872,87.192,1
880,880,88.035,1
891,891,89.07,1
900,900,89.982,1
906,906,90.557,1
914,914,91.431,1
922,922,92.165,1
927,927,92.701,1
937,937,93.708,1
947,947,94.697,1
956,956,95.632,1
965,965,96.494,1
974,974,97.39,1
983,983,98.277,1
992,992,99.23,1
1001,1001,100.15,1
1011,1011,101.05,1
1022,1022,102.24,1
1030,1030,102.96,1
1038,1038,103.84,1
1053,1053,105.31,1
1060,1060,105.96,1
1068,1068,106.75,1
1076,1076,107.64,1
1086,1086,108.6,1
1094,1094,109.37,1
1102,1102,110.19,1
1110,1110,111.03,1
1117,1117,111.69,1
1124,1124,112.43,1
1131,1131,113.11,1
1138,1138,113.8,1
1144,1144,114.42,1
1151,1151,115.09,1
1162,1162,116.19,1
1167,1167,116.75,1
1175,1175,117.49,1
1182,1182,118.18,1
1189,1189,118.87,1
1195,1195,119.55,1
1203,1203,120.32,1
1209,1209,120.89,1
1216,1216,121.58,1
1226,1226,122.55,1
1232,1232,123.18,1
1239,1239,123.93,1
1248,1248,124.77,1
1255,1255,125.46,1
1263,1263,126.27,1
1274,1274,127.39,1
1284,1284,128.42,1
1292,1292,129.25,1
1301,1301,130.07,1
1310,1310,130.97,1
1320,1320,132.02,1
1332,1332,133.22,1
1343,1343,134.26,1
1353,1353,135.29,1
1359,1359,135.86,1
1367,1367,136.73,1
1375,1375,137.53,1
1383,1383,138.28,1
1392,1392,139.18,1
1398,1398,139.79,1
1409,1409,140.88,1
1418,1418,141.8,1
1430,1430,142.98,1
1443,1443,144.34,1
1460,1460,145.99,1
1467,1467,146.7,1
1475,1475,147.54,1
1485,1485,148.47,1
1492,1492,149.16,1
1501,1501,150.13,1
1509,1509,150.9,1
1521,1521,152.1,1
1530,1530,152.96,1
1538,1538,153.81,1
1546,1546,154.6,1
1558,1558,155.75,1
1569,1569,156.93,1
1580,1580,158.01,1
1594,1594,159.35,1
1605,1605,160.53,1
1615,1615,161.49,1
1622,1622,162.2,1
1628,1628,162.84,1
1635,1635,163.47,1
