38,38,3.8114,0.52783,0.60205,0.48438,0.60254,0.50244,0.61719,0.56934,0.63525,0.46509,0.63086,0.61963,0.70264,0.42358,0.73242
39,39,3.9388,0.5293,0.60107,0.48389,0.60059,0.50293,0.61621,0.5708,0.63477,0.46338,0.62939,0.61963,0.70215,0.42456,0.73096
40,40,4.0345,0.53174,0.6001,0.48535,0.60059,0.50537,0.61426,0.57227,0.63379,0.46387,0.62988,0.61816,0.70166,0.42578,0.72852
41,41,4.1293,0.5332,0.59912,0.48657,0.6001,0.50684,0.61279,0.57373,0.63379,0.46533,0.63086,0.61963,0.70361,0.42554,0.72998
42,42,4.2085,0.53271,0.59912,0.48682,0.60059,0.50635,0.61377,0.57275,0.63379,0.46606,0.63086,0.62012,0.70264,0.42725,0.73096
43,43,4.3209,0.5332,0.59912,0.48633,0.6001,0.50586,0.61279,0.57373,0.63477,0.46558,0.63135,0.62256,0.70312,0.42505,0.73145
44,44,4.43,0.53271,0.59912,0.48535,0.60059,0.50537,0.61377,0.57373,0.63525,0.4646,0.63184,0.62354,0.7041,0.4248,0.73242
45,45,4.5434,0.53125,0.59961,0.48438,0.6001,0.50293,0.61377,0.57324,0.63623,0.46509,0.63184,0.62402,0.7041,0.42554,0.73145
47,47,4.652,0.53076,0.60156,0.48535,0.60156,0.50488,0.61572,0.57129,0.6377,0.46436,0.63184,0.62256,0.70264,0.42529,0.7334
48,48,4.7788,0.5332,0.60303,0.48633,0.60303,0.50732,0.61914,0.57227,0.63574,0.46362,0.63184,0.62158,0.70361,0.42676,0.73047
49,49,4.8736,0.5332,0.60693,0.48633,0.60693,0.50781,0.62305,0.57227,0.63818,0.46338,0.6333,0.62207,0.70312,0.42896,0.73145
50,50,4.9834,0.5332,0.60938,0.48608,0.6123,0.50684,0.62598,0.57324,0.63623,0.46289,0.63428,0.61914,0.70068,0.43164,0.72998
51,51,5.0786,0.53369,0.61133,0.4856,0.61328,0.50684,0.62744,0.57373,0.63574,0.46216,0.6333,0.6167,0.70068,0.43359,0.72754
52,52,5.173,0.53418,0.61182,0.48633,0.61328,0.50684,0.62793,0.57373,0.63574,0.46289,0.6333,0.61914,0.69873,0.43311,0.72656
53,53,5.2676,0.53467,0.61182,0.48608,0.61377,0.50732,0.62891,0.57373,0.63525,0.46216,0.63281,0.61914,0.69971,0.43091,0.72656
54,54,5.4111,0.53369,0.60791,0.48535,0.60791,0.50586,0.625,0.57227,0.63672,0.46167,0.63281,0.62109,0.70264,0.42334,0.73584
56,56,5.57,0.53418,0.60547,0.48584,0.60498,0.50732,0.62256,0.57275,0.63672,0.46338,0.63184,0.62207,0.70312,0.42358,0.73438
57,57,5.6642,0.53418,0.60547,0.4856,0.60547,0.50781,0.62256,0.57324,0.63672,0.46265,0.63232,0.62012,0.70264,0.4248,0.7334
58,58,5.7592,0.5332,0.60596,0.48486,0.60547,0.50635,0.62256,0.57275,0.6377,0.4624,0.63184,0.62012,0.70215,0.42505,0.73389
59,59,5.8857,0.53271,0.60596,0.48584,0.60498,0.50684,0.62158,0.57178,0.6377,0.46387,0.63281,0.62158,0.70312,0.42383,0.7334
60,60,5.9909,0.53076,0.60547,0.4856,0.60645,0.50586,0.62256,0.57129,0.6377,0.46411,0.63232,0.62012,0.70166,0.42676,0.73193
62,62,6.1864,0.53076,0.60449,0.48535,0.60449,0.50537,0.62109,0.57129,0.63818,0.46362,0.63184,0.61914,0.70215,0.42554,0.73291
63,63,6.3129,0.52979,0.60449,0.48486,0.60498,0.50488,0.62207,0.5708,0.63721,0.46387,0.63135,0.62061,0.70166,0.4248,0.73096
64,64,6.423,0.52979,0.604,0.48486,0.60498,0.50488,0.62158,0.57129,0.63721,0.4646,0.63232,0.62158,0.7041,0.42627,0.73145
65,65,6.5178,0.53027,0.60449,0.4856,0.60498,0.50586,0.62158,0.57129,0.63721,0.46411,0.63184,0.62158,0.70459,0.42554,0.73145
66,66,6.6457,0.53076,0.60449,0.48486,0.60498,0.50488,0.62109,0.57178,0.63623,0.46362,0.63037,0.61914,0.70166,0.42554,0.73291
