0,0,0.013381,-0.4541,0.42432,0.7207
0,0,0.029006,-0.45752,0.37646,0.73877
0,0,0.044631,-0.43213,0.31592,0.75635
1,1,0.060256,-0.40674,0.33838,0.81152
1,1,0.075882,-0.43896,0.44434,0.91357
1,1,0.091506,-0.47168,0.64307,0.90186
1,1,0.10713,-0.48486,0.70215,0.85596
1,1,0.12276,-0.45166,0.67725,0.79492
1,1,0.13838,-0.42139,0.63867,0.77002
2,2,0.15401,-0.43604,0.61328,0.74316
2,2,0.16963,-0.46533,0.55811,0.70947
2,2,0.18526,-0.5,0.56152,0.65918
2,2,0.20088,-0.5332,0.57227,0.63232
2,2,0.21651,-0.54785,0.58594,0.61035
2,2,0.23213,-0.60547,0.57568,0.55371
2,2,0.24776,-0.63623,0.55713,0.47266
3,3,0.26338,-0.68848,0.54834,0.37012
3,3,0.27901,-0.72021,0.53369,0.30078
3,3,0.29463,-0.66064,0.56641,0.35449
3,3,0.31026,-0.56152,0.63916,0.40723
3,3,0.32588,-0.51465,0.68701,0.48438
3,3,0.34151,-0.48584,0.69385,0.48486
4,4,0.35713,-0.46338,0.63281,0.55225
4,4,0.37276,-0.41553,0.56201,0.61963
4,4,0.38838,-0.39893,0.47363,0.62598
4,4,0.40401,-0.38574,0.43652,0.48975
4,4,0.41963,-0.3335,0.50879,0.4292
4,4,0.43526,-0.27588,0.68506,0.51758
5,5,0.45088,-0.15088,0.91357,0.64795
5,5,0.46651,-0.10254,0.91016,0.67676
5,5,0.48213,-0.089355,0.82031,0.64062
5,5,0.49776,-0.073242,0.74023,0.62451
5,5,0.51338,-0.026367,0.77637,0.65186
5,5,0.52901,0.040039,0.96582,0.64014
5,5,0.54463,0.078125,1.0684,0.5752
6,6,0.56026,0.1001,1.0371,0.48535
6,6,0.57588,0.10547,0.97656,0.42432
6,6,0.59151,0.12549,1.0527,0.38867
6,6,0.60713,0.11768,1.187,0.41064
6,6,0.62276,0.11719,1.2847,0.42725
6,6,0.63838,0.064941,1.2871,0.3208
7,7,0.65401,0.04248,1.1777,0.28711
7,7,0.66963,0.066895,1.0513,0.56934
7,7,0.68526,0.04248,1.0513,0.47314
7,7,0.70088,-0.04834,1.0645,0.28516
7,7,0.71651,-0.041992,0.97852,0.18555
7,7,0.73213,-0.14697,0.81348,0.084473
7,7,0.74776,-0.25195,0.90479,-0.016602
8,8,0.76338,-0.33008,0.93115,-0.31152
8,8,0.77901,-0.26807,0.84424,-0.29492
8,8,0.79463,-0.31445,0.89746,-0.16504
8,8,0.81026,-0.3999,1.0386,0.079102
8,8,0.82588,-0.41406,1.1948,0.25195
8,8,0.84151,-0.33057,1.1499,0.36182
9,9,0.85714,-0.27832,1.0396,0.35547
9,9,0.87276,-0.23633,0.96484,0.30615
9,9,0.88839,-0.2251,0.86572,0.2334
9,9,0.90401,-0.20752,0.79248,0.19238
9,9,0.91964,-0.229,0.77783,0.15039
9,9,0.93526,-0.22021,0.85791,0.25586
10,10,0.95089,-0.23242,1.019,0.43652
10,10,0.96651,-0.25342,1.1646,0.53662
10,10,0.98214,-0.2627,1.1841,0.57666
10,10,0.99776,-0.29443,1.0649,0.56592
10,10,1.0134,-0.29004,0.854,0.59131
10,10,1.029,-0.3125,0.62793,0.6167
10,10,1.0446,-0.33545,0.46484,0.66748
11,11,1.0603,-0.28076,0.24072,0.73145
11,11,1.0759,-0.23389,0.1123,0.79785
11,11,1.0915,-0.24707,0.063477,0.81543
11,11,1.1071,-0.27197,0.12256,0.8584
11,11,1.1228,-0.25977,0.26807,0.83252
11,11,1.1384,-0.27295,0.3877,0.79639
12,12,1.154,-0.30469,0.45996,0.76123
12,12,1.1696,-0.31836,0.61621,0.69824
12,12,1.1853,-0.35693,0.63184,0.66064
12,12,1.2009,-0.354,0.52441,0.68701
12,12,1.2165,-0.30518,0.47754,0.81543
12,12,1.2321,-0.26562,0.51953,0.90918
12,12,1.2478,-0.26416,0.55957,0.96191
13,13,1.2634,-0.29346,0.59766,0.92725
13,13,1.279,-0.31885,0.59961,0.87061
13,13,1.2946,-0.29297,0.67578,0.85645
